"Player";"Total Score (points)";"Correct Answers";"Incorrect Answers";"Groupe";"Average_time"
"1";26633;29;1;"1";31.4072161627496
"2";25694;29;1;"2";11.1823032792268
"3";22592;26;4;"2";7.87507622080619
"4";22483;26;4;"1";22.0016746001117
"5";21747;25;5;"2";15.4636734545853
"6";21657;24;6;"2";18.6744636254062
"7";20914;23;7;"1";17.2480864384952
"8";20874;25;5;"3";16.379778680904
"9";20630;24;6;"4";18.943562427989
"10";20559;23;7;"4";14.1966987277512
"11";20399;22;8;"1";10.4172654187108
"12";20018;24;6;"3";15.4568090598718
"13";19722;24;6;"3";19.3069808818896
"14";19614;24;6;"3";15.2994735734633
"15";19493;23;7;"3";-0.0594779063963831
"16";19274;25;5;"2";14.4990789828658
"17";18988;22;8;"3";12.4139664664972
"18";18918;24;6;"3";17.9217912738311
"19";18655;22;8;"1";18.4496699703091
"20";18583;23;7;"3";19.2243336646052
"21";18516;22;8;"2";18.3899168481832
"22";18125;21;9;"1";7.78581655881111
"23";18077;23;7;"3";26.0305344536608
"24";17938;21;9;"4";21.2807359497768
"25";17770;23;7;"2";18.5187831914714
"26";17667;20;10;"1";5.94760501884915
"27";17551;23;7;"2";11.1252686707544
"28";17395;23;7;"2";13.8170151475857
"29";17218;20;10;"2";9.39555467897175
"30";17077;19;11;"1";8.74941811033221
"31";16737;19;11;"4";11.4528180743139
"32";16622;19;11;"1";16.2625453715014
"33";16249;19;11;"1";19.687280027157
"34";16156;19;11;"1";16.5677111668112
"35";15958;21;9;"3";23.3281301133621
"36";15945;19;11;"1";15.6077764023594
"37";15692;18;12;"3";12.2386501188743
"38";15541;20;10;"2";17.7093754904849
"39";15030;18;12;"3";20.0872580022706
"40";14803;18;12;"4";4.28277289854439
"41";14663;18;12;"4";10.0607516185477
"42";14553;19;11;"2";11.6334216032635
"43";14376;18;12;"3";20.1999752281351
"44";13247;17;13;"2";15.0745445358223
"45";12350;16;14;"4";11.331449327721
"46";11551;13;17;"3";14.1419910646028
"47";10713;16;14;"4";21.9233804210296
"48";7625;9;21;"4";5.01042361554942
"49";5259;7;23;"1";18.3136251349221
"50";0;0;30;"4";11.8599064056985
